Metric,Value
AUC,0.864996114996115
AUC_boot_lo,0.8156073222692216
AUC_boot_hi,0.910170036339464
Brier,0.14824589549492534
HL_stat,3.624834343867551
HL_p,0.8892882988721941
AIC,201.1041822580053
BIC,230.9230360693814
N,203.0
